id,price,bonus,credit,title,review,merchant_name
1,79 990 ₽,11 999,2 273 ₽,Ноутбук Huawei MateBook B3-520 Gray (53013fcn),17,Мегамаркет Москва Пушкино
2,118 202 ₽,17 731,3 359 ₽,Ноутбук Acer Nitro 5 AN515-58 Black (NH.QLZCD.003),10,Мегамаркет Москва Томилино
3,94 990 ₽,14 249,2 700 ₽,"Ноутбук Apple MacBook Air 13"" M1/8Gb/256Gb/Space Gray (MGN63)",999,Мегамаркет Москва Пушкино
4,40 990 ₽,2 870,1 165 ₽,Ноутбук Lenovo IdeaPad Slim 3 15IRU8 Gray,97,Ситилинк Москва Доставка
5,51 490 ₽,8 239,1 463 ₽,Ноутбук Honor MagicBook X16 2024 DOS Gray (5301AHHP),71,Click & Buy (со склада МегаМаркет)
6,62 990 ₽,,1 790 ₽,Ноутбук Huawei MateBook D14 Gray (53013XET),31,ЦифраДом
7,56 990 ₽,570,1 620 ₽,Ноутбук Huawei MateBook D14 Gray (53013XET),31,Ситилинк Москва Доставка
8,59 490 ₽,595,1 691 ₽,Ноутбук Honor MagicBook X16 2024 DOS Gray (5301AHHM),37,Ситилинк Москва Доставка
9,96 990 ₽,,2 756 ₽,"Ноутбук Apple MacBook Air M1 256 13.3"" M1 8/256GB Space Gray (A2337)",103,ConceptElectronics
10,94 420 ₽,14 163,2 683 ₽,"Ноутбук Apple MacBook Air 13"" M1/8Gb/256Gb Silver (MGN93)",664,Мегамаркет Москва Пушкино
11,47 100 ₽,7 536,1 339 ₽,Ноутбук Acer Extensa EX215-54 Black (NX.EGJER.040),31,DomNouta.РФ
12,41 530 ₽,6 230,1 180 ₽,Ноутбук Lenovo IdeaPad Slim 3 15IRU8 Gray,97,Мегамаркет Москва Пушкино
13,157 786 ₽,15 779,4 484 ₽,"Ноутбук Apple MacBook Air 15 15.3"" 2023 M2 8/512GB Midnight",55,SmartFON
14,51 990 ₽,520,1 478 ₽,Ноутбук Honor MagicBook X16 2024 DOS Gray (5301AHHP),71,Ситилинк Москва Доставка
15,64 990 ₽,,1 847 ₽,Ноутбук Huawei MateBook D14 Gray (53013XET),31,Алло
16,59 999 ₽,,1 705 ₽,Ноутбук F+ FLAPTOP R Silver (FLTP-5R5-8512-W),33,Эльдорадо
